actual,proposed
-0.19525088369846344,-0.19796237349510193
-0.19321726262569427,-0.19525088369846344
-0.18482241034507751,-0.19321726262569427
-0.18221034109592438,-0.003977046813815832
-0.18025128543376923,-0.18221034109592438
-0.17829221487045288,-0.18025128543376923
-0.17502710223197937,-0.17829221487045288
-0.14439891278743744,-0.17502710223197937
-0.14330504834651947,-0.003710694145411253
-0.14057038724422455,-0.14330504834651947
-0.13947650790214539,-0.14057038724422455
-0.13783571124076843,-0.13947650790214539
-0.1481766253709793,-0.13783571124076843
-0.14698652923107147,-0.003499968210235238
-0.14639148116111755,-0.14698652923107147
-0.14579643309116364,-0.14639148116111755
-0.1446063369512558,-0.14579643309116364
-0.13512052595615387,-0.1446063369512558
-0.13456450402736664,-0.003416960360482335
-0.13456450402736664,-0.13456450402736664
-0.13512052595615387,-0.13456450402736664
-0.1356765478849411,-0.13512052595615387
-0.1373445987701416,-0.1356765478849411
-0.1592152863740921,-0.0034728015307337046
-0.16178306937217712,-0.1592152863740921
-0.16370889544487,-0.16178306937217712
-0.16627667844295502,-0.16370889544487
-0.1694863736629486,-0.16627667844295502
-0.17415045201778412,-0.0037118205800652504
-0.17738714814186096,-0.17415045201778412
-0.18127115070819855,-0.17738714814186096
-0.18580244481563568,-0.18127115070819855
-0.19033372402191162,-0.18580244481563568
-0.22304661571979523,-0.004131773486733437
-0.23199686408042908,-0.22304661571979523
-0.2387094646692276,-0.23199686408042908
-0.24616777896881104,-0.2387094646692276
-0.25288015604019165,-0.24616777896881104
-0.2375815212726593,-0.004765739198774099
-0.2465582638978958,-0.2375815212726593
-0.25208231806755066,-0.2465582638978958
-0.25829681754112244,-0.25208231806755066
-0.26451119780540466,-0.25829681754112244
-0.26796358823776245,-0.00538830179721117
-0.2915705740451813,-0.26796358823776245
-0.29811280965805054,-0.2915705740451813
-0.30392804741859436,-0.29811280965805054
-0.30974313616752625,-0.30392804741859436
-0.31483128666877747,-0.0059949252754449844
-0.30518847703933716,-0.31483128666877747
-0.3100423514842987,-0.30518847703933716
-0.31212255358695984,-0.3100423514842987
-0.31281596422195435,-0.31212255358695984
-0.3148961365222931,-0.00634551839902997
-0.3242836594581604,-0.3148961365222931
-0.3249899446964264,-0.3242836594581604
-0.3256962299346924,-0.3249899446964264
-0.3278150260448456,-0.3256962299346924
-0.3292275369167328,-0.0065252166241407394
-0.3755992650985718,-0.3292275369167328
-0.37639978528022766,-0.3755992650985718
-0.3755992650985718,-0.37639978528022766
-0.3747987449169159,-0.3755992650985718
-0.27781012654304504,-0.0065832845866680145
-0.2512248754501343,-0.27781012654304504
-0.2501375377178192,-0.2512248754501343
-0.24905018508434296,-0.2501375377178192
-0.2479628175497055,-0.24905018508434296
-0.24687547981739044,-0.006420379504561424
-0.2457880973815918,-0.24687547981739044
-0.22436940670013428,-0.2457880973815918
-0.22287051379680634,-0.22436940670013428
-0.2213716059923172,-0.22287051379680634
-0.21987269818782806,-0.0062429169192910194
-0.21837379038333893,-0.21987269818782806
-0.24369306862354279,-0.21837379038333893
-0.24313294887542725,-0.24369306862354279
-0.24201272428035736,-0.24313294887542725
-0.24089248478412628,-0.0060909343883395195
-0.2397722601890564,-0.24089248478412628
-0.2217925488948822,-0.2397722601890564
-0.22075141966342926,-0.2217925488948822
-0.2197103053331375,-0.22075141966342926
-0.21918973326683044,-0.005952769424766302
-0.21918973326683044,-0.21918973326683044
-0.19730335474014282,-0.21918973326683044
-0.19730335474014282,-0.19730335474014282
-0.19730335474014282,-0.19730335474014282
-0.1963639259338379,-0.005923692602664232
-0.19589421153068542,-0.1963639259338379
